Marca de Tiempo for sample frequency every 15 min,Temperatura_Fahrenheit,Humedad_Relativa
2018-11-07 08:20:00,70.5474,39.5627
2018-11-07 08:35:00,70.5667,39.1660
2018-11-07 08:50:00,69.6980,39.3491
2018-11-07 09:05:00,70.1613,38.7083
2018-11-07 09:20:00,70.5281,37.5486
2018-11-07 09:35:00,70.2965,37.3350
2018-11-07 09:50:00,70.1806,37.0603
2018-11-07 10:05:00,69.6980,37.2434
2018-11-07 10:20:00,69.5050,36.8467
2018-11-07 10:35:00,69.6980,37.9758
2018-11-07 10:50:00,69.1768,37.3350
2018-11-07 11:05:00,69.6980,36.3279
2018-11-07 11:20:00,70.7984,34.8936
2018-11-07 11:35:00,71.6285,35.5344
2018-11-07 11:50:00,71.7251,34.8325
2018-11-07 12:05:00,71.8409,34.0696
2018-11-07 12:20:00,71.7058,35.7786
2018-11-07 12:35:00,71.8409,34.5884
2018-11-07 12:50:00,72.0532,33.9780
2018-11-07 13:05:00,72.0919,33.7949
2018-11-07 13:20:00,71.8795,33.8865
2018-11-07 13:35:00,71.7058,34.1306
2018-11-07 13:50:00,71.7444,33.9170
2018-11-07 14:05:00,71.7830,33.8254
2018-11-07 14:20:00,71.9181,33.7034
2018-11-07 14:35:00,71.9181,33.5508
2018-11-07 14:50:00,71.8795,33.3677
2018-11-07 15:05:00,71.6671,33.4592
2018-11-07 15:20:00,71.1266,33.4287
2018-11-07 15:35:00,70.3737,33.6118
2018-11-07 15:50:00,69.6980,33.5813
2018-11-07 16:05:00,70.2386,32.5437
2018-11-07 16:20:00,70.5474,31.5366
2018-11-07 16:35:00,70.7984,30.9568
2018-11-07 16:50:00,71.0687,30.2854
2018-11-07 17:05:00,71.3583,29.8276
2018-11-07 17:20:00,71.4741,29.4309
2018-11-07 17:35:00,71.4741,28.7290
2018-11-07 17:50:00,70.9335,28.8511
2018-11-07 18:05:00,70.1806,29.7666
2018-11-07 18:20:00,69.6980,29.4309
2018-11-07 18:35:00,69.9876,29.3088
2018-11-07 18:50:00,70.0069,29.5835
2018-11-07 19:05:00,69.6980,30.0107
2018-11-07 19:20:00,69.4471,30.7737
2018-11-07 19:35:00,69.3312,31.7197
2018-11-07 19:50:00,69.6980,32.0859
2018-11-07 20:05:00,69.6980,32.5437
2018-11-07 20:20:00,69.6980,32.8794
2018-11-07 20:35:00,69.6980,33.3066
2018-11-07 20:50:00,69.5629,33.4897
2018-11-07 21:05:00,69.5436,33.7339
2018-11-07 21:20:00,69.6980,33.8254
2018-11-07 21:35:00,69.5822,35.1377
2018-11-07 21:50:00,69.6980,34.9851
2018-11-07 22:05:00,69.6594,34.8325
2018-11-07 22:20:00,70.2000,34.2832
2018-11-07 22:35:00,70.3737,33.9170
2018-11-07 22:50:00,70.2386,33.8560
2018-11-07 23:05:00,70.5861,33.0320
2018-11-07 23:20:00,70.6826,32.3911
2018-11-07 23:35:00,70.7405,31.5671
2018-11-07 23:50:00,70.4509,30.9263
2018-11-08 00:05:00,70.6633,29.5530
2018-11-08 00:20:00,70.3351,28.6985
2018-11-08 00:35:00,70.6826,27.5693
2018-11-08 00:50:00,70.5861,26.7759
2018-11-08 01:05:00,70.8563,25.9214
2018-11-08 01:20:00,70.9142,25.6162
2018-11-08 01:35:00,70.8370,25.7383
2018-11-08 01:50:00,71.1266,25.3416
2018-11-08 02:05:00,70.9529,24.3955
2018-11-08 02:20:00,70.8756,24.0598
2018-11-08 02:35:00,71.5320,23.5410
2018-11-08 02:50:00,72.0532,23.1748
2018-11-08 03:05:00,72.1884,22.8696
2018-11-08 03:20:00,72.3621,22.5950
2018-11-08 03:35:00,72.2849,22.4424
2018-11-08 03:50:00,72.3621,22.1067
2018-11-08 04:05:00,72.2463,22.5034
2018-11-08 04:20:00,72.2077,22.4424
2018-11-08 04:35:00,72.3814,22.3203
2018-11-08 04:50:00,72.2270,22.5034
2018-11-08 05:05:00,72.2077,22.4424
2018-11-08 05:20:00,72.0726,22.4424
2018-11-08 05:35:00,72.1884,22.3203
2018-11-08 05:50:00,72.1112,22.8696
2018-11-08 06:05:00,72.4200,22.6865
2018-11-08 06:20:00,72.3428,22.7170
2018-11-08 06:35:00,72.0146,23.3884
2018-11-08 06:50:00,72.2463,23.4800
2018-11-08 07:05:00,72.0726,23.7546
2018-11-08 07:20:00,72.2270,23.9683
2018-11-08 07:35:00,72.2656,24.2734
2018-11-08 07:50:00,72.1884,24.7922
2018-11-08 08:05:00,72.0146,24.8838
2018-11-08 08:20:00,72.0532,25.0364
2018-11-08 08:35:00,72.1884,24.4260
2018-11-08 08:50:00,72.2077,23.9683
2018-11-08 09:05:00,72.1884,23.9072
2018-11-08 09:20:00,70.5861,23.8462
2018-11-08 09:35:00,71.2231,23.1748
2018-11-08 09:50:00,71.1266,23.1748
2018-11-08 10:05:00,71.2038,23.0222
2018-11-08 10:20:00,70.5281,24.1208
2018-11-08 10:35:00,70.6633,24.4260
2018-11-08 10:50:00,70.8756,24.4565
2018-11-08 11:05:00,70.1613,25.0669
2018-11-08 11:20:00,70.6826,24.7312
2018-11-08 11:35:00,71.2038,24.4871
2018-11-08 11:50:00,71.0494,24.3955
2018-11-08 12:05:00,70.5474,24.7312
2018-11-08 12:20:00,71.0880,24.4565
2018-11-08 12:35:00,71.2617,24.3040
2018-11-08 12:50:00,71.3003,24.1514
2018-11-08 13:05:00,70.8563,24.3345
2018-11-08 13:20:00,71.0880,24.2429
2018-11-08 13:35:00,71.1459,24.1514
2018-11-08 13:50:00,71.3003,24.0598
2018-11-08 14:05:00,71.1845,24.0903
2018-11-08 14:20:00,71.1073,24.2734
2018-11-08 14:35:00,71.0880,24.1514
2018-11-08 14:50:00,71.3583,23.8767
2018-11-08 15:05:00,71.0687,23.9988
2018-11-08 15:20:00,71.0301,24.0903
2018-11-08 15:35:00,71.1845,23.9377
2018-11-08 15:50:00,71.1266,23.8157
2018-11-08 16:05:00,70.8177,23.1748
2018-11-08 16:20:00,70.1613,23.2664
2018-11-08 16:35:00,69.4471,23.9683
2018-11-08 16:50:00,69.5436,23.7241
2018-11-08 17:05:00,69.4857,23.9683
2018-11-08 17:20:00,69.6401,23.9377
2018-11-08 17:35:00,69.6980,23.8767
2018-11-08 17:50:00,70.6247,23.3274
2018-11-08 18:05:00,71.0301,22.9307
2018-11-08 18:20:00,71.5127,22.6560
2018-11-08 18:35:00,71.6478,22.5339
2018-11-08 18:50:00,71.8409,22.4119
2018-11-08 19:05:00,71.9181,22.3203
2018-11-08 19:20:00,71.8795,22.4424
2018-11-08 19:35:00,71.7444,22.2898
2018-11-08 19:50:00,71.8023,22.3813
2018-11-08 20:05:00,71.7637,22.2898
2018-11-08 20:20:00,71.9374,22.1067
2018-11-08 20:35:00,72.0146,22.0457
2018-11-08 20:50:00,71.9181,22.1677
2018-11-08 21:05:00,71.4355,22.4119
2018-11-08 21:20:00,71.7444,22.4119
2018-11-08 21:35:00,71.8409,22.2288
2018-11-08 21:50:00,71.9181,22.0151
2018-11-08 22:05:00,72.0726,21.8015
2018-11-08 22:20:00,72.0146,21.6184
2018-11-08 22:35:00,72.0146,21.7405
2018-11-08 22:50:00,71.8409,21.8320
2018-11-08 23:05:00,71.8795,22.1067
2018-11-08 23:20:00,71.9760,22.0457
2018-11-08 23:35:00,71.8988,21.9236
2018-11-08 23:50:00,71.6478,22.1982
2018-11-09 00:05:00,71.8216,22.2593
2018-11-09 00:20:00,72.0339,21.8931
2018-11-09 00:35:00,71.9181,21.9541
2018-11-09 00:50:00,71.8409,22.0151
2018-11-09 01:05:00,72.0146,21.7405
2018-11-09 01:20:00,71.8795,21.8015
2018-11-09 01:35:00,72.1305,21.7710
2018-11-09 01:50:00,71.9374,21.8320
2018-11-09 02:05:00,71.8602,22.0151
2018-11-09 02:20:00,71.9181,22.1677
2018-11-09 02:35:00,71.7830,22.5034
2018-11-09 02:50:00,71.9760,22.4119
2018-11-09 03:05:00,71.8988,22.4729
2018-11-09 03:20:00,71.8216,22.4729
2018-11-09 03:35:00,72.0919,22.1982
2018-11-09 03:50:00,71.9374,22.1982
2018-11-09 04:05:00,72.0146,22.0457
2018-11-09 04:20:00,72.0532,22.1067
2018-11-09 04:35:00,72.1305,21.6794
2018-11-09 04:50:00,71.9953,21.7710
2018-11-09 05:05:00,71.8023,21.8625
2018-11-09 05:20:00,71.5899,21.9236
2018-11-09 05:35:00,71.4548,21.8625
2018-11-09 05:50:00,71.3583,22.1372
2018-11-09 06:05:00,71.4548,21.9846
2018-11-09 06:20:00,71.3583,22.1067
2018-11-09 06:35:00,71.8023,21.7405
2018-11-09 06:50:00,71.7444,21.6794
