Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2018-11-14 09:28:00,71.7830,11.6086
2018-11-14 09:43:00,71.6285,11.8528
2018-11-14 09:58:00,72.0146,11.2119
2018-11-14 10:13:00,71.0687,10.9983
2018-11-14 10:28:00,71.3969,10.6016
2018-11-14 10:43:00,71.6285,10.3269
2018-11-14 10:58:00,71.7058,9.8386
2018-11-14 11:13:00,71.6671,9.5945
2018-11-14 11:28:00,71.6478,9.4419
2018-11-14 11:43:00,71.5127,9.3503
2018-11-14 11:58:00,71.4741,9.3198
2018-11-14 12:13:00,70.8563,9.4419
2018-11-14 12:28:00,70.6440,9.4419
2018-11-14 12:43:00,71.1073,9.4724
2018-11-14 12:58:00,71.4934,8.8621
2018-11-14 13:13:00,70.9915,8.8010
2018-11-14 13:28:00,71.3583,8.6790
2018-11-14 13:43:00,70.9529,9.0757
2018-11-14 13:58:00,71.2424,8.7095
2018-11-14 14:13:00,71.5320,8.6790
2018-11-14 14:28:00,71.8023,8.5264
2018-11-14 14:43:00,71.8023,8.4958
2018-11-14 14:58:00,71.8216,8.8315
2018-11-14 15:13:00,71.8602,8.8621
2018-11-14 15:28:00,71.6285,8.7400
2018-11-14 15:43:00,71.9181,8.6484
2018-11-14 15:58:00,71.7058,8.5264
2018-11-14 16:13:00,71.6478,8.4653
2018-11-14 16:28:00,71.6864,8.3738
2018-11-14 16:43:00,71.5127,8.2822
2018-11-14 16:58:00,71.4355,8.5264
2018-11-14 17:13:00,71.6671,8.4653
2018-11-14 17:28:00,71.6092,8.4043
2018-11-14 17:43:00,71.7637,8.7095
2018-11-14 17:58:00,71.8602,8.4043
2018-11-14 18:13:00,71.7058,8.4653
2018-11-14 18:28:00,71.3196,8.4348
2018-11-14 18:43:00,71.4548,8.2822
2018-11-14 18:58:00,71.9374,8.4958
2018-11-14 19:13:00,71.8409,8.3738
2018-11-14 19:28:00,71.7058,8.3433
2018-11-14 19:43:00,71.7637,8.2212
2018-11-14 19:58:00,71.7637,8.4958
2018-11-14 20:13:00,71.9567,8.1602
2018-11-14 20:28:00,72.0146,8.1907
2018-11-14 20:43:00,71.9760,8.4348
2018-11-14 20:58:00,71.9181,8.2822
2018-11-14 21:13:00,72.1112,8.1907
2018-11-14 21:28:00,71.7251,8.5569
2018-11-14 21:43:00,71.6285,8.5569
2018-11-14 21:58:00,71.6478,8.8010
2018-11-14 22:13:00,71.4741,8.7705
2018-11-14 22:28:00,71.7444,8.8315
2018-11-14 22:43:00,71.8409,8.8926
2018-11-14 22:58:00,71.9374,8.9841
2018-11-14 23:13:00,72.0146,8.8926
2018-11-14 23:28:00,71.8409,8.9841
2018-11-14 23:43:00,71.9953,9.0146
2018-11-14 23:58:00,72.1112,8.9841
2018-11-15 00:13:00,71.8409,9.0146
2018-11-15 00:28:00,71.9374,8.9536
2018-11-15 00:43:00,71.9760,8.9536
2018-11-15 00:58:00,71.9181,8.9841
2018-11-15 01:13:00,72.1884,8.9536
2018-11-15 01:28:00,72.0146,8.9841
2018-11-15 01:43:00,71.8795,8.9841
2018-11-15 01:58:00,71.9567,8.9841
2018-11-15 02:13:00,72.0146,9.0146
2018-11-15 02:28:00,71.9181,9.1367
2018-11-15 02:43:00,71.8795,9.1367
2018-11-15 02:58:00,71.9567,9.2283
2018-11-15 03:13:00,72.0726,9.2283
2018-11-15 03:28:00,71.8409,9.1062
2018-11-15 03:43:00,72.0146,9.1062
2018-11-15 03:58:00,71.9953,9.0146
2018-11-15 04:13:00,72.1305,8.9231
2018-11-15 04:28:00,72.1884,8.9231
2018-11-15 04:43:00,72.2656,8.8926
2018-11-15 04:58:00,72.1884,8.8926
2018-11-15 05:13:00,72.1884,8.9536
2018-11-15 05:28:00,72.0532,8.9841
2018-11-15 05:43:00,71.8602,9.0452
2018-11-15 05:58:00,71.9181,8.9841
2018-11-15 06:13:00,72.0532,8.9841
2018-11-15 06:28:00,71.8216,9.0452
2018-11-15 06:43:00,71.9181,8.9841
2018-11-15 06:58:00,72.1884,9.0146
2018-11-15 07:13:00,72.0339,9.1367
2018-11-15 07:28:00,72.0919,9.0146
2018-11-15 07:43:00,72.0532,9.1062
2018-11-15 07:58:00,72.1498,9.1672
2018-11-15 08:13:00,71.9953,8.9841
2018-11-15 08:28:00,71.8216,8.9841
2018-11-15 08:43:00,71.9181,8.8926
2018-11-15 08:58:00,71.8602,8.8010
2018-11-15 09:13:00,71.8409,8.8926
2018-11-15 09:28:00,71.7637,8.6484
2018-11-15 09:43:00,71.8409,8.6790
2018-11-15 09:58:00,71.9760,8.7705
2018-11-15 10:13:00,71.7058,8.6790
2018-11-15 10:28:00,71.7637,8.8315
2018-11-15 10:43:00,71.8216,8.9841
2018-11-15 10:58:00,71.9181,8.8926
2018-11-15 11:13:00,72.0532,8.9231
2018-11-15 11:28:00,72.1884,8.5874
2018-11-15 11:43:00,72.1884,8.6484
2018-11-15 11:58:00,71.8409,8.9536
2018-11-15 12:13:00,71.8409,8.9841
2018-11-15 12:28:00,71.9181,9.0146
2018-11-15 12:43:00,71.7251,9.1978
2018-11-15 12:58:00,71.8023,9.3198
2018-11-15 13:13:00,71.7637,9.4419
2018-11-15 13:28:00,71.7444,9.5029
2018-11-15 13:43:00,71.4934,9.8081
2018-11-15 13:58:00,71.6092,9.9302
2018-11-15 14:13:00,71.5127,10.2964
2018-11-15 14:28:00,71.6092,10.4795
2018-11-15 14:43:00,71.8409,10.6016
2018-11-15 14:58:00,71.6864,10.9373
2018-11-15 15:13:00,71.2231,11.8223
2018-11-15 15:28:00,71.1845,12.1580
2018-11-15 15:43:00,71.9760,12.0054
2018-11-15 15:58:00,71.7058,12.5242
2018-11-15 16:13:00,71.9374,12.6157
2018-11-15 16:28:00,71.9760,12.8904
2018-11-15 16:43:00,71.8409,13.4397
2018-11-15 16:58:00,71.7830,13.9890
2018-11-15 17:13:00,72.3621,14.5688
2018-11-15 17:28:00,72.0726,15.1792
2018-11-15 17:43:00,72.1884,15.7590
2018-11-15 17:58:00,72.3428,15.9116
2018-11-15 18:13:00,72.1884,16.0947
2018-11-15 18:28:00,72.2077,16.1252
2018-11-15 18:43:00,71.8023,16.3083
2018-11-15 18:58:00,71.7058,16.3999
2018-11-15 19:13:00,71.7637,16.2778
2018-11-15 19:28:00,71.8409,16.1863
2018-11-15 19:43:00,71.4548,17.1323
2018-11-15 19:58:00,71.5320,18.1089
2018-11-15 20:13:00,71.0687,18.9634
2018-11-15 20:28:00,71.4934,19.1770
2018-11-15 20:43:00,71.6092,19.2380
2018-11-15 20:58:00,71.7444,19.4517
2018-11-15 21:13:00,71.7058,19.8484
2018-11-15 21:28:00,71.6478,20.3977
2018-11-15 21:43:00,71.7058,20.7639
2018-11-15 21:58:00,71.6671,21.2522
2018-11-15 22:13:00,71.6478,21.5879
2018-11-15 22:28:00,71.8216,21.6794
2018-11-15 22:43:00,71.6285,21.9846
2018-11-15 22:58:00,71.4934,22.1372
2018-11-15 23:13:00,71.8409,22.0762
2018-11-15 23:28:00,71.7058,22.3813
2018-11-15 23:43:00,71.6671,22.4119
2018-11-15 23:58:00,71.7251,22.5034
2018-11-16 00:13:00,71.3583,22.6560
2018-11-16 00:28:00,71.5513,22.6865
2018-11-16 00:43:00,71.2617,22.8391
2018-11-16 00:58:00,71.6671,22.7476
2018-11-16 01:13:00,71.5320,22.7476
2018-11-16 01:28:00,71.4741,22.8086
2018-11-16 01:43:00,71.6092,22.8696
2018-11-16 01:58:00,71.5320,22.9612
2018-11-16 02:13:00,71.7058,23.1443
2018-11-16 02:28:00,71.6092,23.3579
2018-11-16 02:43:00,71.6671,23.6936
2018-11-16 02:58:00,71.4934,24.0293
2018-11-16 03:13:00,71.5320,24.4260
2018-11-16 03:28:00,71.6864,24.7922
2018-11-16 03:43:00,71.7637,24.9448
2018-11-16 03:58:00,71.5899,25.6162
2018-11-16 04:13:00,71.7637,25.9214
2018-11-16 04:28:00,71.6092,26.2876
2018-11-16 04:43:00,71.7637,26.5317
2018-11-16 04:58:00,71.7058,27.0505
2018-11-16 05:13:00,71.6285,27.4778
2018-11-16 05:28:00,71.4355,27.9355
2018-11-16 05:43:00,71.7637,28.0576
2018-11-16 05:58:00,71.7251,28.4543
2018-11-16 06:13:00,71.6478,28.8511
2018-11-16 06:28:00,71.7637,29.3394
2018-11-16 06:43:00,71.9567,29.4919
2018-11-16 06:58:00,72.0339,29.8276
